name,Count!!RACE!!Total population,Count!!HISPANIC OR LATINO BY RACE!!Total population!!Not Hispanic or Latino!!Two or More Races,Count!!HISPANIC OR LATINO BY RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone,Count!!HISPANIC OR LATINO BY RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,Count!!HISPANIC OR LATINO BY RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone,Count!!HISPANIC OR LATINO BY RACE!!Total population!!Not Hispanic or Latino!!Asian alone,Count!!HISPANIC OR LATINO BY RACE!!Total population!!Hispanic or Latino,Count!!HISPANIC OR LATINO BY RACE!!Total population!!Not Hispanic or Latino!!White alone,Zip Code Area
ZCTA5 86020,1852,30,1750,1,1,1,44,25,86020
ZCTA5 86021,4133,46,5,0,0,3,33,4045,86021
ZCTA5 86022,2058,57,308,0,12,6,73,1598,86022
ZCTA5 86023,2420,78,457,0,57,83,462,1280,86023
ZCTA5 86024,643,22,7,1,1,0,44,566,86024
ZCTA5 86025,5358,237,1546,8,91,33,1281,2137,86025
ZCTA5 86028,34,2,0,0,4,0,2,24,86028
ZCTA5 86029,178,13,47,0,2,1,12,102,86029
ZCTA5 86030,1037,10,1008,0,0,2,6,11,86030
ZCTA5 86031,1705,33,1621,0,0,0,39,11,86031
ZCTA5 86032,1411,44,303,3,5,2,118,934,86032
ZCTA5 86033,7734,107,7405,0,5,2,78,137,86033
ZCTA5 86034,2116,30,1959,0,13,14,53,45,86034
ZCTA5 86035,1694,35,1634,0,0,0,15,10,86035
ZCTA5 86036,195,9,133,0,0,1,5,47,86036
ZCTA5 86038,117,3,4,0,0,0,16,92,86038
ZCTA5 86039,1438,5,1407,0,2,4,12,8,86039
ZCTA5 86040,10179,505,5127,12,49,134,708,3614,86040
ZCTA5 86042,1493,3,1453,0,0,1,10,25,86042
ZCTA5 86043,1559,5,1538,0,2,3,5,6,86043
ZCTA5 86044,4127,61,3915,3,5,2,45,94,86044
ZCTA5 86045,10445,186,9725,6,22,119,164,222,86045
ZCTA5 86046,6310,315,155,10,78,73,1580,4065,86046
ZCTA5 86047,14168,459,6925,9,358,73,3149,3162,86047
ZCTA5 86052,40,4,2,0,0,0,4,30,86052
ZCTA5 86053,2025,18,1976,0,1,1,21,7,86053
ZCTA5 86054,1841,33,1790,0,1,0,8,9,86054
ZCTA5 86301,25115,1037,326,37,171,538,2660,20231,86301
ZCTA5 86303,18201,684,136,12,111,177,1431,15548,86303
ZCTA5 86305,19555,658,97,11,76,191,1360,17062,86305
ZCTA5 86313,92,0,15,0,0,4,12,61,86313
ZCTA5 86314,39461,1630,369,65,328,623,8875,27425,86314
ZCTA5 86315,10354,381,69,10,62,129,1009,8655,86315
ZCTA5 86320,2111,92,50,0,12,4,478,1463,86320
ZCTA5 86321,2234,103,52,2,4,38,578,1443,86321
ZCTA5 86322,12696,582,1015,13,69,70,2029,8880,86322
ZCTA5 86323,18422,872,123,23,74,131,2636,14480,86323
ZCTA5 86324,4544,224,187,5,27,47,632,3395,86324
ZCTA5 86325,5472,214,43,3,33,49,602,4501,86325
ZCTA5 86326,24465,889,237,41,161,191,5709,17127,86326
ZCTA5 86327,11530,433,134,11,87,102,1106,9622,86327
ZCTA5 86329,1288,49,31,1,2,6,211,984,86329
ZCTA5 86331,515,26,1,2,0,2,23,460,86331
ZCTA5 86332,1716,80,10,0,2,11,180,1420,86332
ZCTA5 86333,5886,326,38,11,26,28,625,4795,86333
ZCTA5 86334,5261,245,60,3,13,28,1242,3643,86334
